timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663874830082,118,"Incorrect data entry in the ""Mileage"" field - POST",400,Bad Request,Load tests 2-3,text,true,,355,493,3,3,https://qauto2.forstudy.space/api/expenses,118,0,0
1663874830201,57,Instructions - GET,200,OK,Load tests 2-3,text,true,,1236,348,3,3,https://qauto2.forstudy.space/api/instructions?carBrandId=1&carModelId=1&page=1,57,0,0
1663874830260,142,Remove Car - DELETE,404,Not Found,Load tests 2-3,text,true,,348,398,3,3,https://qauto2.forstudy.space/api/cars/5000,141,0,0
1663874830402,57,Log Out - GET,404,Not Found,Load tests 2-3,text,true,,348,314,3,3,https://qauto2.forstudy.space/api/cars/logout,57,0,0
1663874829382,1428,Guest log in - POST,401,Unauthorized,Load tests 2-1,text,true,,400,282,3,3,https://qauto2.forstudy.space/api-logs,1428,0,1148
1663874830466,680,Guest log in - POST,401,Unauthorized,Load tests 2-3,text,true,,400,456,3,3,https://qauto2.forstudy.space/api-logs,680,0,353
1663874831147,61,Stage of creation of API - POST,400,Bad Request,Load tests 2-3,text,true,,353,536,3,3,https://qauto2.forstudy.space/api/auth/signup,60,0,0
1663874830811,401,Stage of creation of API - POST,400,Bad Request,Load tests 2-1,text,true,,353,362,3,3,https://qauto2.forstudy.space/api/auth/signup,401,0,0
1663874828963,2299,Password Reset with Valid Email - POST,200,OK,Load tests 2-2,text,true,,311,436,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,2299,0,0
1663874831213,1118,Sign in - POST,200,OK,Load tests 2-1,text,true,,843,289,3,3,https://qauto2.forstudy.space/api/auth/signin,1118,0,0
1663874831209,1122,Sign in - POST,200,OK,Load tests 2-3,text,true,,668,463,3,3,https://qauto2.forstudy.space/api/auth/signin,1122,0,0
1663874831263,1068,Password reset with invalid email - POST,400,Bad Request,Load tests 2-2,text,true,,355,424,3,3,https://qauto2.forstudy.space/api/auth/resetPassword,1068,0,0
1663874832332,1011,Cars brands - GET,200,OK,Load tests 2-2,text,true,,577,314,3,3,https://qauto2.forstudy.space/api/cars/brands,1011,0,0
1663874832332,1012,Login with valid login details & Remember me option ON - POST,200,OK,Load tests 2-3,text,true,,668,463,3,3,https://qauto2.forstudy.space/api/auth/signin,1012,0,0
1663874832333,1012,Login with valid login details & Remember me option ON - POST,200,OK,Load tests 2-1,text,true,,668,467,3,3,https://qauto2.forstudy.space/api/auth/signin,1012,0,0
1663874833345,139,Cars - GET,200,OK,Load tests 2-2,text,true,,322,320,3,3,https://qauto2.forstudy.space/api/cars?user=$(USER),139,0,0
1663874833485,1096,Add car - GET,200,OK,Load tests 2-2,text,true,,507,327,3,3,https://qauto2.forstudy.space/api/cars/models?carBrandId=1,1096,0,0
1663874834582,55,Add car - POST,400,Bad Request,Load tests 2-2,text,true,,361,423,3,3,https://qauto2.forstudy.space/api/cars,55,0,0
1663874834638,126,Add car and incorrect mileage - POST,400,Bad Request,Load tests 2-2,text,true,,355,750,3,3,https://qauto2.forstudy.space/api/expenses?carId=24185,126,0,0
1663874834765,66,Add an expense - POST,400,Bad Request,Load tests 2-2,text,true,,355,577,3,3,https://qauto2.forstudy.space/api/expenses,66,0,0
1663874834832,72,"Incorrect data entry in the ""Mileage"" field - POST",400,Bad Request,Load tests 2-2,text,true,,355,493,3,3,https://qauto2.forstudy.space/api/expenses,72,0,0
